20230917
Seconds MEASURES_rh(%) MNH_RH_30m(%) "AR_RH (%)" Date_of_forecast Date_of_computing
34200 10.28689 9.60877 10.29758 "2023-09-17 15:30:00" "2023-09-17 15:30:00"
34800 10.10656 9.53201 10.13672 "2023-09-17 15:40:00" "2023-09-17 14:50:00"
34800 10.10656 9.53201 9.63370 "2023-09-17 15:40:00" "2023-09-17 15:00:00"
34800 10.10656 9.53201 10.40316 "2023-09-17 15:40:00" "2023-09-17 15:10:00"
34800 10.10656 9.53201 10.17132 "2023-09-17 15:40:00" "2023-09-17 15:20:00"
34800 10.10656 9.53201 10.13224 "2023-09-17 15:40:00" "2023-09-17 15:30:00"
34800 10.10656 9.53201 10.13907 "2023-09-17 15:40:00" "2023-09-17 15:40:00"
35400 10.02459 9.48624 9.44194 "2023-09-17 15:50:00" "2023-09-17 15:00:00"
35400 10.02459 9.48624 10.33869 "2023-09-17 15:50:00" "2023-09-17 15:10:00"
35400 10.02459 9.48624 10.06584 "2023-09-17 15:50:00" "2023-09-17 15:20:00"
35400 10.02459 9.48624 10.01280 "2023-09-17 15:50:00" "2023-09-17 15:30:00"
35400 10.02459 9.48624 10.05941 "2023-09-17 15:50:00" "2023-09-17 15:40:00"
35400 10.02459 9.48624 10.02458 "2023-09-17 15:50:00" "2023-09-17 15:50:00"
36000 9.96557 9.38443 10.29934 "2023-09-17 16:00:00" "2023-09-17 15:10:00"
36000 9.96557 9.38443 9.98514 "2023-09-17 16:00:00" "2023-09-17 15:20:00"
36000 9.96557 9.38443 9.92556 "2023-09-17 16:00:00" "2023-09-17 15:30:00"
36000 9.96557 9.38443 9.99986 "2023-09-17 16:00:00" "2023-09-17 15:40:00"
36000 9.96557 9.38443 9.99930 "2023-09-17 16:00:00" "2023-09-17 15:50:00"
36000 9.96557 9.38443 9.94027 "2023-09-17 16:00:00" "2023-09-17 16:00:00"
36600 9.81148 9.21369 9.94944 "2023-09-17 16:10:00" "2023-09-17 15:20:00"
36600 9.81148 9.21369 9.87739 "2023-09-17 16:10:00" "2023-09-17 15:30:00"
36600 9.81148 9.21369 9.96534 "2023-09-17 16:10:00" "2023-09-17 15:40:00"
36600 9.81148 9.21369 10.00407 "2023-09-17 16:10:00" "2023-09-17 15:50:00"
36600 9.81148 9.21369 9.84190 "2023-09-17 16:10:00" "2023-09-17 16:00:00"
36600 9.81148 9.21369 9.82990 "2023-09-17 16:10:00" "2023-09-17 16:10:00"
37200 9.67213 9.25918 9.80328 "2023-09-17 16:20:00" "2023-09-17 15:30:00"
37200 9.67213 9.25918 9.90635 "2023-09-17 16:20:00" "2023-09-17 15:40:00"
37200 9.67213 9.25918 9.95549 "2023-09-17 16:20:00" "2023-09-17 15:50:00"
37200 9.67213 9.25918 9.70510 "2023-09-17 16:20:00" "2023-09-17 16:00:00"
37200 9.67213 9.25918 9.64944 "2023-09-17 16:20:00" "2023-09-17 16:10:00"
37200 9.67213 9.25918 9.66991 "2023-09-17 16:20:00" "2023-09-17 16:20:00"
