20230926
Seconds MEASURES_ws(m/s) MNH_WS_30m(m/s) "AR_WIND_SPEED (m/s)" Date_of_forecast Date_of_computing
30600 1.94452 3.92983 1.99545 "2023-09-26 14:30:00" "2023-09-26 14:30:00"
31200 2.14311 4.41596 2.08867 "2023-09-26 14:40:00" "2023-09-26 13:50:00"
31200 2.14311 4.41596 2.52227 "2023-09-26 14:40:00" "2023-09-26 14:00:00"
31200 2.14311 4.41596 1.85895 "2023-09-26 14:40:00" "2023-09-26 14:10:00"
31200 2.14311 4.41596 2.22879 "2023-09-26 14:40:00" "2023-09-26 14:20:00"
31200 2.14311 4.41596 2.23733 "2023-09-26 14:40:00" "2023-09-26 14:30:00"
31200 2.14311 4.41596 2.08404 "2023-09-26 14:40:00" "2023-09-26 14:40:00"
31800 2.37831 4.74258 2.88265 "2023-09-26 14:50:00" "2023-09-26 14:00:00"
31800 2.37831 4.74258 2.15074 "2023-09-26 14:50:00" "2023-09-26 14:10:00"
31800 2.37831 4.74258 2.58387 "2023-09-26 14:50:00" "2023-09-26 14:20:00"
31800 2.37831 4.74258 2.60443 "2023-09-26 14:50:00" "2023-09-26 14:30:00"
31800 2.37831 4.74258 2.37623 "2023-09-26 14:50:00" "2023-09-26 14:40:00"
31800 2.37831 4.74258 2.33638 "2023-09-26 14:50:00" "2023-09-26 14:50:00"
32400 2.38692 5.04753 2.55909 "2023-09-26 15:00:00" "2023-09-26 14:10:00"
32400 2.38692 5.04753 3.04258 "2023-09-26 15:00:00" "2023-09-26 14:20:00"
32400 2.38692 5.04753 3.07368 "2023-09-26 15:00:00" "2023-09-26 14:30:00"
32400 2.38692 5.04753 2.78933 "2023-09-26 15:00:00" "2023-09-26 14:40:00"
32400 2.38692 5.04753 2.59918 "2023-09-26 15:00:00" "2023-09-26 14:50:00"
32400 2.38692 5.04753 2.47805 "2023-09-26 15:00:00" "2023-09-26 15:00:00"
33000 2.46831 5.59532 3.56268 "2023-09-26 15:10:00" "2023-09-26 14:20:00"
33000 2.46831 5.59532 3.60430 "2023-09-26 15:10:00" "2023-09-26 14:30:00"
33000 2.46831 5.59532 3.27427 "2023-09-26 15:10:00" "2023-09-26 14:40:00"
33000 2.46831 5.59532 2.99602 "2023-09-26 15:10:00" "2023-09-26 14:50:00"
33000 2.46831 5.59532 2.72557 "2023-09-26 15:10:00" "2023-09-26 15:00:00"
33000 2.46831 5.59532 2.56959 "2023-09-26 15:10:00" "2023-09-26 15:10:00"
33600 2.37562 5.81207 3.98735 "2023-09-26 15:20:00" "2023-09-26 14:30:00"
