20230918
Seconds MEASURES_ws(m/s) MNH_WS_30m(m/s) "AR_WIND_SPEED (m/s)" Date_of_forecast Date_of_computing
32400 15.79715 11.66140 15.55639 "2023-09-18 15:00:00" "2023-09-18 14:10:00"
32400 15.79715 11.66140 16.01935 "2023-09-18 15:00:00" "2023-09-18 14:20:00"
32400 15.79715 11.66140 16.15296 "2023-09-18 15:00:00" "2023-09-18 14:30:00"
32400 15.79715 11.66140 16.12985 "2023-09-18 15:00:00" "2023-09-18 14:40:00"
32400 15.79715 11.66140 15.83985 "2023-09-18 15:00:00" "2023-09-18 14:50:00"
32400 15.79715 11.66140 15.83481 "2023-09-18 15:00:00" "2023-09-18 15:00:00"
33000 15.97200 11.61149 15.95986 "2023-09-18 15:10:00" "2023-09-18 14:20:00"
33000 15.97200 11.61149 16.11149 "2023-09-18 15:10:00" "2023-09-18 14:30:00"
33000 15.97200 11.61149 16.08040 "2023-09-18 15:10:00" "2023-09-18 14:40:00"
33000 15.97200 11.61149 15.69986 "2023-09-18 15:10:00" "2023-09-18 14:50:00"
33000 15.97200 11.61149 15.68590 "2023-09-18 15:10:00" "2023-09-18 15:00:00"
33000 15.97200 11.61149 15.62157 "2023-09-18 15:10:00" "2023-09-18 15:10:00"
33600 15.80741 11.85467 16.02813 "2023-09-18 15:20:00" "2023-09-18 14:30:00"
33600 15.80741 11.85467 15.98970 "2023-09-18 15:20:00" "2023-09-18 14:40:00"
33600 15.80741 11.85467 15.53282 "2023-09-18 15:20:00" "2023-09-18 14:50:00"
33600 15.80741 11.85467 15.51122 "2023-09-18 15:20:00" "2023-09-18 15:00:00"
33600 15.80741 11.85467 15.52833 "2023-09-18 15:20:00" "2023-09-18 15:10:00"
33600 15.80741 11.85467 15.29362 "2023-09-18 15:20:00" "2023-09-18 15:20:00"
34200 15.64192 12.12165 15.81017 "2023-09-18 15:30:00" "2023-09-18 14:40:00"
34200 15.64192 12.12165 15.29395 "2023-09-18 15:30:00" "2023-09-18 14:50:00"
34200 15.64192 12.12165 15.26562 "2023-09-18 15:30:00" "2023-09-18 15:00:00"
34200 15.64192 12.12165 15.31571 "2023-09-18 15:30:00" "2023-09-18 15:10:00"
34200 15.64192 12.12165 14.78041 "2023-09-18 15:30:00" "2023-09-18 15:20:00"
34200 15.64192 12.12165 15.30880 "2023-09-18 15:30:00" "2023-09-18 15:30:00"
34800 15.45551 12.19685 15.02216 "2023-09-18 15:40:00" "2023-09-18 14:50:00"
34800 15.45551 12.19685 14.98968 "2023-09-18 15:40:00" "2023-09-18 15:00:00"
34800 15.45551 12.19685 15.06517 "2023-09-18 15:40:00" "2023-09-18 15:10:00"
34800 15.45551 12.19685 14.32790 "2023-09-18 15:40:00" "2023-09-18 15:20:00"
34800 15.45551 12.19685 15.11572 "2023-09-18 15:40:00" "2023-09-18 15:30:00"
34800 15.45551 12.19685 15.40137 "2023-09-18 15:40:00" "2023-09-18 15:40:00"
35400 15.17969 12.35928 14.83361 "2023-09-18 15:50:00" "2023-09-18 15:00:00"
35400 15.17969 12.35928 14.92958 "2023-09-18 15:50:00" "2023-09-18 15:10:00"
35400 15.17969 12.35928 14.02632 "2023-09-18 15:50:00" "2023-09-18 15:20:00"
35400 15.17969 12.35928 15.00588 "2023-09-18 15:50:00" "2023-09-18 15:30:00"
35400 15.17969 12.35928 15.40855 "2023-09-18 15:50:00" "2023-09-18 15:40:00"
35400 15.17969 12.35928 15.33360 "2023-09-18 15:50:00" "2023-09-18 15:50:00"
36000 15.02918 12.61491 14.73252 "2023-09-18 16:00:00" "2023-09-18 15:10:00"
36000 15.02918 12.61491 13.69514 "2023-09-18 16:00:00" "2023-09-18 15:20:00"
36000 15.02918 12.61491 14.83159 "2023-09-18 16:00:00" "2023-09-18 15:30:00"
36000 15.02918 12.61491 15.32538 "2023-09-18 16:00:00" "2023-09-18 15:40:00"
36000 15.02918 12.61491 15.18786 "2023-09-18 16:00:00" "2023-09-18 15:50:00"
36000 15.02918 12.61491 15.13417 "2023-09-18 16:00:00" "2023-09-18 16:00:00"
36600 14.90951 12.56668 13.29294 "2023-09-18 16:10:00" "2023-09-18 15:20:00"
36600 14.90951 12.56668 14.55477 "2023-09-18 16:10:00" "2023-09-18 15:30:00"
36600 14.90951 12.56668 15.12213 "2023-09-18 16:10:00" "2023-09-18 15:40:00"
36600 14.90951 12.56668 14.93921 "2023-09-18 16:10:00" "2023-09-18 15:50:00"
36600 14.90951 12.56668 14.92536 "2023-09-18 16:10:00" "2023-09-18 16:00:00"
36600 14.90951 12.56668 15.11113 "2023-09-18 16:10:00" "2023-09-18 16:10:00"
37200 14.75884 12.46582 14.49437 "2023-09-18 16:20:00" "2023-09-18 15:30:00"
37200 14.75884 12.46582 15.11861 "2023-09-18 16:20:00" "2023-09-18 15:40:00"
37200 14.75884 12.46582 14.89629 "2023-09-18 16:20:00" "2023-09-18 15:50:00"
37200 14.75884 12.46582 14.89313 "2023-09-18 16:20:00" "2023-09-18 16:00:00"
37200 14.75884 12.46582 15.11077 "2023-09-18 16:20:00" "2023-09-18 16:10:00"
37200 14.75884 12.46582 15.00473 "2023-09-18 16:20:00" "2023-09-18 16:20:00"
37800 14.73018 12.11022 15.01605 "2023-09-18 16:30:00" "2023-09-18 15:40:00"
37800 14.73018 12.11022 14.76582 "2023-09-18 16:30:00" "2023-09-18 15:50:00"
37800 14.73018 12.11022 14.77305 "2023-09-18 16:30:00" "2023-09-18 16:00:00"
37800 14.73018 12.11022 15.02772 "2023-09-18 16:30:00" "2023-09-18 16:10:00"
37800 14.73018 12.11022 14.82075 "2023-09-18 16:30:00" "2023-09-18 16:20:00"
37800 14.73018 12.11022 14.95450 "2023-09-18 16:30:00" "2023-09-18 16:30:00"
38400 14.73338 11.87026 14.63826 "2023-09-18 16:40:00" "2023-09-18 15:50:00"
38400 14.73338 11.87026 14.65309 "2023-09-18 16:40:00" "2023-09-18 16:00:00"
38400 14.73338 11.87026 14.93953 "2023-09-18 16:40:00" "2023-09-18 16:10:00"
38400 14.73338 11.87026 14.66416 "2023-09-18 16:40:00" "2023-09-18 16:20:00"
38400 14.73338 11.87026 14.85411 "2023-09-18 16:40:00" "2023-09-18 16:30:00"
38400 14.73338 11.87026 14.92750 "2023-09-18 16:40:00" "2023-09-18 16:40:00"
39000 14.83585 11.90323 14.48929 "2023-09-18 16:50:00" "2023-09-18 16:00:00"
39000 14.83585 11.90323 14.79629 "2023-09-18 16:50:00" "2023-09-18 16:10:00"
39000 14.83585 11.90323 14.46515 "2023-09-18 16:50:00" "2023-09-18 16:20:00"
39000 14.83585 11.90323 14.69806 "2023-09-18 16:50:00" "2023-09-18 16:30:00"
39000 14.83585 11.90323 14.85136 "2023-09-18 16:50:00" "2023-09-18 16:40:00"
39000 14.83585 11.90323 14.90481 "2023-09-18 16:50:00" "2023-09-18 16:50:00"
39600 14.92598 11.63833 14.43758 "2023-09-18 17:00:00" "2023-09-18 16:10:00"
39600 14.92598 11.63833 14.06299 "2023-09-18 17:00:00" "2023-09-18 16:20:00"
39600 14.92598 11.63833 14.33382 "2023-09-18 17:00:00" "2023-09-18 16:30:00"
39600 14.92598 11.63833 14.53583 "2023-09-18 17:00:00" "2023-09-18 16:40:00"
39600 14.92598 11.63833 14.66820 "2023-09-18 17:00:00" "2023-09-18 16:50:00"
39600 14.92598 11.63833 14.88578 "2023-09-18 17:00:00" "2023-09-18 17:00:00"
40200 14.85641 11.62601 13.68165 "2023-09-18 17:10:00" "2023-09-18 16:20:00"
40200 14.85641 11.62601 13.97919 "2023-09-18 17:10:00" "2023-09-18 16:30:00"
40200 14.85641 11.62601 14.22071 "2023-09-18 17:10:00" "2023-09-18 16:40:00"
40200 14.85641 11.62601 14.40160 "2023-09-18 17:10:00" "2023-09-18 16:50:00"
40200 14.85641 11.62601 14.87339 "2023-09-18 17:10:00" "2023-09-18 17:00:00"
40200 14.85641 11.62601 14.81858 "2023-09-18 17:10:00" "2023-09-18 17:10:00"
40800 14.92143 11.64542 13.71114 "2023-09-18 17:20:00" "2023-09-18 16:30:00"
40800 14.92143 11.64542 13.98470 "2023-09-18 17:20:00" "2023-09-18 16:40:00"
40800 14.92143 11.64542 14.20933 "2023-09-18 17:20:00" "2023-09-18 16:50:00"
40800 14.92143 11.64542 14.84046 "2023-09-18 17:20:00" "2023-09-18 17:00:00"
40800 14.92143 11.64542 14.81768 "2023-09-18 17:20:00" "2023-09-18 17:10:00"
40800 14.92143 11.64542 14.75320 "2023-09-18 17:20:00" "2023-09-18 17:20:00"
41400 14.90403 11.41216 13.65465 "2023-09-18 17:30:00" "2023-09-18 16:40:00"
41400 14.90403 11.41216 13.91237 "2023-09-18 17:30:00" "2023-09-18 16:50:00"
41400 14.90403 11.41216 14.68208 "2023-09-18 17:30:00" "2023-09-18 17:00:00"
41400 14.90403 11.41216 14.67078 "2023-09-18 17:30:00" "2023-09-18 17:10:00"
41400 14.90403 11.41216 14.61702 "2023-09-18 17:30:00" "2023-09-18 17:20:00"
41400 14.90403 11.41216 14.75067 "2023-09-18 17:30:00" "2023-09-18 17:30:00"
42000 14.77989 11.19927 13.68753 "2023-09-18 17:40:00" "2023-09-18 16:50:00"
42000 14.77989 11.19927 14.55902 "2023-09-18 17:40:00" "2023-09-18 17:00:00"
42000 14.77989 11.19927 14.56111 "2023-09-18 17:40:00" "2023-09-18 17:10:00"
42000 14.77989 11.19927 14.50673 "2023-09-18 17:40:00" "2023-09-18 17:20:00"
42000 14.77989 11.19927 14.77186 "2023-09-18 17:40:00" "2023-09-18 17:30:00"
42000 14.77989 11.19927 14.57343 "2023-09-18 17:40:00" "2023-09-18 17:40:00"
42600 14.66890 10.84703 14.40217 "2023-09-18 17:50:00" "2023-09-18 17:00:00"
42600 14.66890 10.84703 14.41412 "2023-09-18 17:50:00" "2023-09-18 17:10:00"
42600 14.66890 10.84703 14.36198 "2023-09-18 17:50:00" "2023-09-18 17:20:00"
42600 14.66890 10.84703 14.70914 "2023-09-18 17:50:00" "2023-09-18 17:30:00"
42600 14.66890 10.84703 14.35170 "2023-09-18 17:50:00" "2023-09-18 17:40:00"
42600 14.66890 10.84703 14.86937 "2023-09-18 17:50:00" "2023-09-18 17:50:00"
43200 14.57598 10.59197 14.36661 "2023-09-18 18:00:00" "2023-09-18 17:10:00"
43200 14.57598 10.59197 14.31436 "2023-09-18 18:00:00" "2023-09-18 17:20:00"
43200 14.57598 10.59197 14.73217 "2023-09-18 18:00:00" "2023-09-18 17:30:00"
43200 14.57598 10.59197 14.26374 "2023-09-18 18:00:00" "2023-09-18 17:40:00"
43200 14.57598 10.59197 15.05587 "2023-09-18 18:00:00" "2023-09-18 17:50:00"
43200 14.57598 10.59197 14.83009 "2023-09-18 18:00:00" "2023-09-18 18:00:00"
43800 14.53687 10.27248 14.04498 "2023-09-18 18:10:00" "2023-09-18 17:20:00"
43800 14.53687 10.27248 14.51713 "2023-09-18 18:10:00" "2023-09-18 17:30:00"
43800 14.53687 10.27248 13.95270 "2023-09-18 18:10:00" "2023-09-18 17:40:00"
43800 14.53687 10.27248 14.95482 "2023-09-18 18:10:00" "2023-09-18 17:50:00"
43800 14.53687 10.27248 14.64336 "2023-09-18 18:10:00" "2023-09-18 18:00:00"
43800 14.53687 10.27248 14.69902 "2023-09-18 18:10:00" "2023-09-18 18:10:00"
44400 14.64944 9.89248 14.19457 "2023-09-18 18:20:00" "2023-09-18 17:30:00"
44400 14.64944 9.89248 13.55839 "2023-09-18 18:20:00" "2023-09-18 17:40:00"
44400 14.64944 9.89248 14.73666 "2023-09-18 18:20:00" "2023-09-18 17:50:00"
44400 14.64944 9.89248 14.35354 "2023-09-18 18:20:00" "2023-09-18 18:00:00"
44400 14.64944 9.89248 14.44501 "2023-09-18 18:20:00" "2023-09-18 18:10:00"
44400 14.64944 9.89248 14.75659 "2023-09-18 18:20:00" "2023-09-18 18:20:00"
45000 14.74167 9.99150 13.28076 "2023-09-18 18:30:00" "2023-09-18 17:40:00"
45000 14.74167 9.99150 14.59107 "2023-09-18 18:30:00" "2023-09-18 17:50:00"
45000 14.74167 9.99150 14.15124 "2023-09-18 18:30:00" "2023-09-18 18:00:00"
45000 14.74167 9.99150 14.26341 "2023-09-18 18:30:00" "2023-09-18 18:10:00"
45000 14.74167 9.99150 14.70672 "2023-09-18 18:30:00" "2023-09-18 18:20:00"
45000 14.74167 9.99150 14.71674 "2023-09-18 18:30:00" "2023-09-18 18:30:00"
45600 14.86048 9.62586 14.58407 "2023-09-18 18:40:00" "2023-09-18 17:50:00"
45600 14.86048 9.62586 14.10016 "2023-09-18 18:40:00" "2023-09-18 18:00:00"
45600 14.86048 9.62586 14.23112 "2023-09-18 18:40:00" "2023-09-18 18:10:00"
45600 14.86048 9.62586 14.77715 "2023-09-18 18:40:00" "2023-09-18 18:20:00"
45600 14.86048 9.62586 14.73078 "2023-09-18 18:40:00" "2023-09-18 18:30:00"
45600 14.86048 9.62586 14.63314 "2023-09-18 18:40:00" "2023-09-18 18:40:00"
46200 14.89813 9.27883 13.84369 "2023-09-18 18:50:00" "2023-09-18 18:00:00"
46200 14.89813 9.27883 13.98683 "2023-09-18 18:50:00" "2023-09-18 18:10:00"
46200 14.89813 9.27883 14.61453 "2023-09-18 18:50:00" "2023-09-18 18:20:00"
46200 14.89813 9.27883 14.53762 "2023-09-18 18:50:00" "2023-09-18 18:30:00"
46200 14.89813 9.27883 14.36793 "2023-09-18 18:50:00" "2023-09-18 18:40:00"
46200 14.89813 9.27883 14.49900 "2023-09-18 18:50:00" "2023-09-18 18:50:00"
46800 14.87161 9.12686 13.92459 "2023-09-18 19:00:00" "2023-09-18 18:10:00"
46800 14.87161 9.12686 14.61705 "2023-09-18 19:00:00" "2023-09-18 18:20:00"
46800 14.87161 9.12686 14.51310 "2023-09-18 19:00:00" "2023-09-18 18:30:00"
46800 14.87161 9.12686 14.29220 "2023-09-18 19:00:00" "2023-09-18 18:40:00"
46800 14.87161 9.12686 14.55967 "2023-09-18 19:00:00" "2023-09-18 18:50:00"
46800 14.87161 9.12686 14.34454 "2023-09-18 19:00:00" "2023-09-18 19:00:00"
47400 14.73356 9.30032 14.53811 "2023-09-18 19:10:00" "2023-09-18 18:20:00"
47400 14.73356 9.30032 14.41246 "2023-09-18 19:10:00" "2023-09-18 18:30:00"
47400 14.73356 9.30032 14.14572 "2023-09-18 19:10:00" "2023-09-18 18:40:00"
47400 14.73356 9.30032 14.49733 "2023-09-18 19:10:00" "2023-09-18 18:50:00"
47400 14.73356 9.30032 14.01595 "2023-09-18 19:10:00" "2023-09-18 19:00:00"
47400 14.73356 9.30032 14.39287 "2023-09-18 19:10:00" "2023-09-18 19:10:00"
48000 14.43726 9.18281 14.33529 "2023-09-18 19:20:00" "2023-09-18 18:30:00"
48000 14.43726 9.18281 14.03396 "2023-09-18 19:20:00" "2023-09-18 18:40:00"
48000 14.43726 9.18281 14.45675 "2023-09-18 19:20:00" "2023-09-18 18:50:00"
48000 14.43726 9.18281 13.80672 "2023-09-18 19:20:00" "2023-09-18 19:00:00"
48000 14.43726 9.18281 14.40711 "2023-09-18 19:20:00" "2023-09-18 19:10:00"
48000 14.43726 9.18281 14.29365 "2023-09-18 19:20:00" "2023-09-18 19:20:00"
