20230902
Seconds MEASURES_ws(m/s) MNH_WS_30m(m/s) PERSISTENCE(m/s) Date_of_forecast Date_of_computing
40800 14.36418 12.02429 11.25300 "2023-09-02 17:20:00" "2023-09-02 16:30:00"
40800 14.36418 12.02429 11.85800 "2023-09-02 17:20:00" "2023-09-02 16:40:00"
40800 14.36418 12.02429 12.96300 "2023-09-02 17:20:00" "2023-09-02 16:50:00"
40800 14.36418 12.02429 13.41600 "2023-09-02 17:20:00" "2023-09-02 17:00:00"
40800 14.36418 12.02429 13.42700 "2023-09-02 17:20:00" "2023-09-02 17:10:00"
40800 14.36418 12.02429 14.51800 "2023-09-02 17:20:00" "2023-09-02 17:20:00"
41400 14.67741 12.33380 11.85800 "2023-09-02 17:30:00" "2023-09-02 16:40:00"
41400 14.67741 12.33380 12.96300 "2023-09-02 17:30:00" "2023-09-02 16:50:00"
41400 14.67741 12.33380 13.41600 "2023-09-02 17:30:00" "2023-09-02 17:00:00"
41400 14.67741 12.33380 13.42700 "2023-09-02 17:30:00" "2023-09-02 17:10:00"
41400 14.67741 12.33380 14.51800 "2023-09-02 17:30:00" "2023-09-02 17:20:00"
41400 14.67741 12.33380 14.30100 "2023-09-02 17:30:00" "2023-09-02 17:30:00"
42000 14.84964 12.79494 12.96300 "2023-09-02 17:40:00" "2023-09-02 16:50:00"
42000 14.84964 12.79494 13.41600 "2023-09-02 17:40:00" "2023-09-02 17:00:00"
42000 14.84964 12.79494 13.42700 "2023-09-02 17:40:00" "2023-09-02 17:10:00"
42000 14.84964 12.79494 14.51800 "2023-09-02 17:40:00" "2023-09-02 17:20:00"
42000 14.84964 12.79494 14.30100 "2023-09-02 17:40:00" "2023-09-02 17:30:00"
42000 14.84964 12.79494 15.24700 "2023-09-02 17:40:00" "2023-09-02 17:40:00"
42600 14.83279 13.08861 13.41600 "2023-09-02 17:50:00" "2023-09-02 17:00:00"
42600 14.83279 13.08861 13.42700 "2023-09-02 17:50:00" "2023-09-02 17:10:00"
