20230925
Seconds MEASURES_tau(ms) MNH_TAU0(ms) PERSISTENCE(ms) Date_of_forecast Date_of_computing
39000 5.40171 7.56309 4.26871 "2023-09-26 04:50:00" "2023-09-26 04:00:00"
39000 5.40171 7.56309 4.65287 "2023-09-26 04:50:00" "2023-09-26 04:10:00"
39000 5.40171 7.56309 6.02371 "2023-09-26 04:50:00" "2023-09-26 04:20:00"
39000 5.40171 7.56309 6.48600 "2023-09-26 04:50:00" "2023-09-26 04:30:00"
39000 5.40171 7.56309 5.18017 "2023-09-26 04:50:00" "2023-09-26 04:40:00"
39000 5.40171 7.56309 5.38700 "2023-09-26 04:50:00" "2023-09-26 04:50:00"
39600 5.48071 7.67447 4.65287 "2023-09-26 05:00:00" "2023-09-26 04:10:00"
39600 5.48071 7.67447 6.02371 "2023-09-26 05:00:00" "2023-09-26 04:20:00"
39600 5.48071 7.67447 6.48600 "2023-09-26 05:00:00" "2023-09-26 04:30:00"
39600 5.48071 7.67447 5.18017 "2023-09-26 05:00:00" "2023-09-26 04:40:00"
39600 5.48071 7.67447 5.38700 "2023-09-26 05:00:00" "2023-09-26 04:50:00"
39600 5.48071 7.67447 5.14786 "2023-09-26 05:00:00" "2023-09-26 05:00:00"
39600 5.48071 7.67447 4.65287 "2023-09-26 05:00:00" "2023-09-26 04:10:00"
39600 5.48071 7.67447 6.02371 "2023-09-26 05:00:00" "2023-09-26 04:20:00"
39600 5.48071 7.67447 6.48600 "2023-09-26 05:00:00" "2023-09-26 04:30:00"
39600 5.48071 7.67447 5.18017 "2023-09-26 05:00:00" "2023-09-26 04:40:00"
39600 5.48071 7.67447 5.38700 "2023-09-26 05:00:00" "2023-09-26 04:50:00"
39600 5.48071 7.67447 5.14786 "2023-09-26 05:00:00" "2023-09-26 05:00:00"
39600 5.48071 7.67447 4.65287 "2023-09-26 05:00:00" "2023-09-26 04:10:00"
39600 5.48071 7.67447 6.02371 "2023-09-26 05:00:00" "2023-09-26 04:20:00"
39600 5.48071 7.67447 6.48600 "2023-09-26 05:00:00" "2023-09-26 04:30:00"
39600 5.48071 7.67447 5.18017 "2023-09-26 05:00:00" "2023-09-26 04:40:00"
39600 5.48071 7.67447 5.38700 "2023-09-26 05:00:00" "2023-09-26 04:50:00"
