20230926
Seconds MEASURES_glf(%) MNH_GLF(%) PERSISTENCE(%) Date_of_forecast Date_of_computing
42000 21.73081 55.75888 14.17143 "2023-09-27 05:40:00" "2023-09-27 05:30:00"
42000 21.73081 55.75888 31.56250 "2023-09-27 05:40:00" "2023-09-27 05:40:00"
42000 21.73081 55.75888 16.23750 "2023-09-27 05:40:00" "2023-09-27 04:50:00"
42000 21.73081 55.75888 29.11429 "2023-09-27 05:40:00" "2023-09-27 05:00:00"
42000 21.73081 55.75888 13.77143 "2023-09-27 05:40:00" "2023-09-27 05:10:00"
42000 21.73081 55.75888 14.57143 "2023-09-27 05:40:00" "2023-09-27 05:20:00"
42000 21.73081 55.75888 14.17143 "2023-09-27 05:40:00" "2023-09-27 05:30:00"
42000 21.73081 55.75888 31.56250 "2023-09-27 05:40:00" "2023-09-27 05:40:00"
42000 21.73081 55.75888 16.23750 "2023-09-27 05:40:00" "2023-09-27 04:50:00"
42000 21.73081 55.75888 29.11429 "2023-09-27 05:40:00" "2023-09-27 05:00:00"
42000 21.73081 55.75888 13.77143 "2023-09-27 05:40:00" "2023-09-27 05:10:00"
42000 21.73081 55.75888 14.57143 "2023-09-27 05:40:00" "2023-09-27 05:20:00"
42000 21.73081 55.75888 14.17143 "2023-09-27 05:40:00" "2023-09-27 05:30:00"
42000 21.73081 55.75888 31.56250 "2023-09-27 05:40:00" "2023-09-27 05:40:00"
42000 21.73081 55.75888 16.23750 "2023-09-27 05:40:00" "2023-09-27 04:50:00"
42000 21.73081 55.75888 29.11429 "2023-09-27 05:40:00" "2023-09-27 05:00:00"
42000 21.73081 55.75888 13.77143 "2023-09-27 05:40:00" "2023-09-27 05:10:00"
42000 21.73081 55.75888 14.57143 "2023-09-27 05:40:00" "2023-09-27 05:20:00"
42000 21.73081 55.75888 14.17143 "2023-09-27 05:40:00" "2023-09-27 05:30:00"
42000 21.73081 55.75888 31.56250 "2023-09-27 05:40:00" "2023-09-27 05:40:00"
42600 21.87139 55.64380 29.11429 "2023-09-27 05:50:00" "2023-09-27 05:00:00"
42600 21.87139 55.64380 13.77143 "2023-09-27 05:50:00" "2023-09-27 05:10:00"
42600 21.87139 55.64380 14.57143 "2023-09-27 05:50:00" "2023-09-27 05:20:00"
42600 21.87139 55.64380 14.17143 "2023-09-27 05:50:00" "2023-09-27 05:30:00"
42600 21.87139 55.64380 31.56250 "2023-09-27 05:50:00" "2023-09-27 05:40:00"
42600 21.87139 55.64380 30.55714 "2023-09-27 05:50:00" "2023-09-27 05:50:00"
42600 21.87139 55.64380 29.11429 "2023-09-27 05:50:00" "2023-09-27 05:00:00"
42600 21.87139 55.64380 13.77143 "2023-09-27 05:50:00" "2023-09-27 05:10:00"
42600 21.87139 55.64380 14.57143 "2023-09-27 05:50:00" "2023-09-27 05:20:00"
42600 21.87139 55.64380 14.17143 "2023-09-27 05:50:00" "2023-09-27 05:30:00"
42600 21.87139 55.64380 31.56250 "2023-09-27 05:50:00" "2023-09-27 05:40:00"
42600 21.87139 55.64380 30.55714 "2023-09-27 05:50:00" "2023-09-27 05:50:00"
42600 21.87139 55.64380 29.11429 "2023-09-27 05:50:00" "2023-09-27 05:00:00"
42600 21.87139 55.64380 13.77143 "2023-09-27 05:50:00" "2023-09-27 05:10:00"
42600 21.87139 55.64380 14.57143 "2023-09-27 05:50:00" "2023-09-27 05:20:00"
42600 21.87139 55.64380 14.17143 "2023-09-27 05:50:00" "2023-09-27 05:30:00"
42600 21.87139 55.64380 31.56250 "2023-09-27 05:50:00" "2023-09-27 05:40:00"
42600 21.87139 55.64380 30.55714 "2023-09-27 05:50:00" "2023-09-27 05:50:00"
42600 21.87139 55.64380 29.11429 "2023-09-27 05:50:00" "2023-09-27 05:00:00"
42600 21.87139 55.64380 13.77143 "2023-09-27 05:50:00" "2023-09-27 05:10:00"
42600 21.87139 55.64380 14.57143 "2023-09-27 05:50:00" "2023-09-27 05:20:00"
42600 21.87139 55.64380 14.17143 "2023-09-27 05:50:00" "2023-09-27 05:30:00"
42600 21.87139 55.64380 31.56250 "2023-09-27 05:50:00" "2023-09-27 05:40:00"
42600 21.87139 55.64380 30.55714 "2023-09-27 05:50:00" "2023-09-27 05:50:00"
42600 21.87139 55.64380 29.11429 "2023-09-27 05:50:00" "2023-09-27 05:00:00"
42600 21.87139 55.64380 13.77143 "2023-09-27 05:50:00" "2023-09-27 05:10:00"
42600 21.87139 55.64380 14.57143 "2023-09-27 05:50:00" "2023-09-27 05:20:00"
