20230913
Seconds "MEASURES_see("")" MNH_Seeing(arcsec) "PERSISTENCE("")" Date_of_forecast Date_of_computing
46200 0.87108 0.58305 0.86775 "2023-09-14 06:50:00" "2023-09-14 06:30:00"
46200 0.87108 0.58305 0.90900 "2023-09-14 06:50:00" "2023-09-14 06:40:00"
46200 0.87108 0.58305 0.91240 "2023-09-14 06:50:00" "2023-09-14 06:50:00"
46200 0.87108 0.58305 0.91986 "2023-09-14 06:50:00" "2023-09-14 06:00:00"
46200 0.87108 0.58305 0.79329 "2023-09-14 06:50:00" "2023-09-14 06:10:00"
46200 0.87108 0.58305 0.82829 "2023-09-14 06:50:00" "2023-09-14 06:20:00"
46200 0.87108 0.58305 0.86775 "2023-09-14 06:50:00" "2023-09-14 06:30:00"
46200 0.87108 0.58305 0.90900 "2023-09-14 06:50:00" "2023-09-14 06:40:00"
46200 0.87108 0.58305 0.91240 "2023-09-14 06:50:00" "2023-09-14 06:50:00"
46200 0.87108 0.58305 0.91986 "2023-09-14 06:50:00" "2023-09-14 06:00:00"
46200 0.87108 0.58305 0.79329 "2023-09-14 06:50:00" "2023-09-14 06:10:00"
46200 0.87108 0.58305 0.82829 "2023-09-14 06:50:00" "2023-09-14 06:20:00"
46200 0.87108 0.58305 0.86775 "2023-09-14 06:50:00" "2023-09-14 06:30:00"
46200 0.87108 0.58305 0.90900 "2023-09-14 06:50:00" "2023-09-14 06:40:00"
46200 0.87108 0.58305 0.91240 "2023-09-14 06:50:00" "2023-09-14 06:50:00"
46200 0.87108 0.58305 0.91986 "2023-09-14 06:50:00" "2023-09-14 06:00:00"
46200 0.87108 0.58305 0.79329 "2023-09-14 06:50:00" "2023-09-14 06:10:00"
46200 0.87108 0.58305 0.82829 "2023-09-14 06:50:00" "2023-09-14 06:20:00"
46200 0.87108 0.58305 0.86775 "2023-09-14 06:50:00" "2023-09-14 06:30:00"
46200 0.87108 0.58305 0.90900 "2023-09-14 06:50:00" "2023-09-14 06:40:00"
46200 0.87108 0.58305 0.91240 "2023-09-14 06:50:00" "2023-09-14 06:50:00"
46200 0.87108 0.58305 0.91986 "2023-09-14 06:50:00" "2023-09-14 06:00:00"
46200 0.87108 0.58305 0.79329 "2023-09-14 06:50:00" "2023-09-14 06:10:00"
46200 0.87108 0.58305 0.82829 "2023-09-14 06:50:00" "2023-09-14 06:20:00"
46200 0.87108 0.58305 0.86775 "2023-09-14 06:50:00" "2023-09-14 06:30:00"
46200 0.87108 0.58305 0.90900 "2023-09-14 06:50:00" "2023-09-14 06:40:00"
46200 0.87108 0.58305 0.91240 "2023-09-14 06:50:00" "2023-09-14 06:50:00"
46200 0.87108 0.58305 0.91986 "2023-09-14 06:50:00" "2023-09-14 06:00:00"
46200 0.87108 0.58305 0.79329 "2023-09-14 06:50:00" "2023-09-14 06:10:00"
46200 0.87108 0.58305 0.82829 "2023-09-14 06:50:00" "2023-09-14 06:20:00"
46200 0.87108 0.58305 0.86775 "2023-09-14 06:50:00" "2023-09-14 06:30:00"
46200 0.87108 0.58305 0.90900 "2023-09-14 06:50:00" "2023-09-14 06:40:00"
46200 0.87108 0.58305 0.91240 "2023-09-14 06:50:00" "2023-09-14 06:50:00"
46800 0.89301 0.60924 0.79329 "2023-09-14 07:00:00" "2023-09-14 06:10:00"
46800 0.89301 0.60924 0.82829 "2023-09-14 07:00:00" "2023-09-14 06:20:00"
46800 0.89301 0.60924 0.86775 "2023-09-14 07:00:00" "2023-09-14 06:30:00"
46800 0.89301 0.60924 0.90900 "2023-09-14 07:00:00" "2023-09-14 06:40:00"
46800 0.89301 0.60924 0.91240 "2023-09-14 07:00:00" "2023-09-14 06:50:00"
46800 0.89301 0.60924 1.07050 "2023-09-14 07:00:00" "2023-09-14 07:00:00"
46800 0.89301 0.60924 0.79329 "2023-09-14 07:00:00" "2023-09-14 06:10:00"
46800 0.89301 0.60924 0.82829 "2023-09-14 07:00:00" "2023-09-14 06:20:00"
46800 0.89301 0.60924 0.86775 "2023-09-14 07:00:00" "2023-09-14 06:30:00"
46800 0.89301 0.60924 0.90900 "2023-09-14 07:00:00" "2023-09-14 06:40:00"
46800 0.89301 0.60924 0.91240 "2023-09-14 07:00:00" "2023-09-14 06:50:00"
46800 0.89301 0.60924 1.07050 "2023-09-14 07:00:00" "2023-09-14 07:00:00"
46800 0.89301 0.60924 0.79329 "2023-09-14 07:00:00" "2023-09-14 06:10:00"
46800 0.89301 0.60924 0.82829 "2023-09-14 07:00:00" "2023-09-14 06:20:00"
46800 0.89301 0.60924 0.86775 "2023-09-14 07:00:00" "2023-09-14 06:30:00"
46800 0.89301 0.60924 0.90900 "2023-09-14 07:00:00" "2023-09-14 06:40:00"
46800 0.89301 0.60924 0.91240 "2023-09-14 07:00:00" "2023-09-14 06:50:00"
46800 0.89301 0.60924 1.07050 "2023-09-14 07:00:00" "2023-09-14 07:00:00"
46800 0.89301 0.60924 0.79329 "2023-09-14 07:00:00" "2023-09-14 06:10:00"
46800 0.89301 0.60924 0.82829 "2023-09-14 07:00:00" "2023-09-14 06:20:00"
46800 0.89301 0.60924 0.86775 "2023-09-14 07:00:00" "2023-09-14 06:30:00"
46800 0.89301 0.60924 0.90900 "2023-09-14 07:00:00" "2023-09-14 06:40:00"
46800 0.89301 0.60924 0.91240 "2023-09-14 07:00:00" "2023-09-14 06:50:00"
46800 0.89301 0.60924 1.07050 "2023-09-14 07:00:00" "2023-09-14 07:00:00"
46800 0.89301 0.60924 0.79329 "2023-09-14 07:00:00" "2023-09-14 06:10:00"
46800 0.89301 0.60924 0.82829 "2023-09-14 07:00:00" "2023-09-14 06:20:00"
46800 0.89301 0.60924 0.86775 "2023-09-14 07:00:00" "2023-09-14 06:30:00"
46800 0.89301 0.60924 0.90900 "2023-09-14 07:00:00" "2023-09-14 06:40:00"
46800 0.89301 0.60924 0.91240 "2023-09-14 07:00:00" "2023-09-14 06:50:00"
46800 0.89301 0.60924 1.07050 "2023-09-14 07:00:00" "2023-09-14 07:00:00"
46800 0.89301 0.60924 0.79329 "2023-09-14 07:00:00" "2023-09-14 06:10:00"
46800 0.89301 0.60924 0.82829 "2023-09-14 07:00:00" "2023-09-14 06:20:00"
46800 0.89301 0.60924 0.86775 "2023-09-14 07:00:00" "2023-09-14 06:30:00"
46800 0.89301 0.60924 0.90900 "2023-09-14 07:00:00" "2023-09-14 06:40:00"
46800 0.89301 0.60924 0.91240 "2023-09-14 07:00:00" "2023-09-14 06:50:00"
46800 0.89301 0.60924 1.07050 "2023-09-14 07:00:00" "2023-09-14 07:00:00"
47400 0.92820 0.61354 0.82829 "2023-09-14 07:10:00" "2023-09-14 06:20:00"
47400 0.92820 0.61354 0.86775 "2023-09-14 07:10:00" "2023-09-14 06:30:00"
47400 0.92820 0.61354 0.90900 "2023-09-14 07:10:00" "2023-09-14 06:40:00"
47400 0.92820 0.61354 0.91240 "2023-09-14 07:10:00" "2023-09-14 06:50:00"
47400 0.92820 0.61354 1.07050 "2023-09-14 07:10:00" "2023-09-14 07:00:00"
47400 0.92820 0.61354 0.98829 "2023-09-14 07:10:00" "2023-09-14 07:10:00"
47400 0.92820 0.61354 0.82829 "2023-09-14 07:10:00" "2023-09-14 06:20:00"
47400 0.92820 0.61354 0.86775 "2023-09-14 07:10:00" "2023-09-14 06:30:00"
47400 0.92820 0.61354 0.90900 "2023-09-14 07:10:00" "2023-09-14 06:40:00"
47400 0.92820 0.61354 0.91240 "2023-09-14 07:10:00" "2023-09-14 06:50:00"
47400 0.92820 0.61354 1.07050 "2023-09-14 07:10:00" "2023-09-14 07:00:00"
47400 0.92820 0.61354 0.98829 "2023-09-14 07:10:00" "2023-09-14 07:10:00"
47400 0.92820 0.61354 0.82829 "2023-09-14 07:10:00" "2023-09-14 06:20:00"
47400 0.92820 0.61354 0.86775 "2023-09-14 07:10:00" "2023-09-14 06:30:00"
47400 0.92820 0.61354 0.90900 "2023-09-14 07:10:00" "2023-09-14 06:40:00"
47400 0.92820 0.61354 0.91240 "2023-09-14 07:10:00" "2023-09-14 06:50:00"
47400 0.92820 0.61354 1.07050 "2023-09-14 07:10:00" "2023-09-14 07:00:00"
47400 0.92820 0.61354 0.98829 "2023-09-14 07:10:00" "2023-09-14 07:10:00"
47400 0.92820 0.61354 0.82829 "2023-09-14 07:10:00" "2023-09-14 06:20:00"
47400 0.92820 0.61354 0.86775 "2023-09-14 07:10:00" "2023-09-14 06:30:00"
47400 0.92820 0.61354 0.90900 "2023-09-14 07:10:00" "2023-09-14 06:40:00"
47400 0.92820 0.61354 0.91240 "2023-09-14 07:10:00" "2023-09-14 06:50:00"
47400 0.92820 0.61354 1.07050 "2023-09-14 07:10:00" "2023-09-14 07:00:00"
47400 0.92820 0.61354 0.98829 "2023-09-14 07:10:00" "2023-09-14 07:10:00"
47400 0.92820 0.61354 0.82829 "2023-09-14 07:10:00" "2023-09-14 06:20:00"
47400 0.92820 0.61354 0.86775 "2023-09-14 07:10:00" "2023-09-14 06:30:00"
47400 0.92820 0.61354 0.90900 "2023-09-14 07:10:00" "2023-09-14 06:40:00"
47400 0.92820 0.61354 0.91240 "2023-09-14 07:10:00" "2023-09-14 06:50:00"
47400 0.92820 0.61354 1.07050 "2023-09-14 07:10:00" "2023-09-14 07:00:00"
47400 0.92820 0.61354 0.98829 "2023-09-14 07:10:00" "2023-09-14 07:10:00"
47400 0.92820 0.61354 0.82829 "2023-09-14 07:10:00" "2023-09-14 06:20:00"
47400 0.92820 0.61354 0.86775 "2023-09-14 07:10:00" "2023-09-14 06:30:00"
47400 0.92820 0.61354 0.90900 "2023-09-14 07:10:00" "2023-09-14 06:40:00"
47400 0.92820 0.61354 0.91240 "2023-09-14 07:10:00" "2023-09-14 06:50:00"
47400 0.92820 0.61354 1.07050 "2023-09-14 07:10:00" "2023-09-14 07:00:00"
47400 0.92820 0.61354 0.98829 "2023-09-14 07:10:00" "2023-09-14 07:10:00"
48000 0.95265 0.62101 0.86775 "2023-09-14 07:20:00" "2023-09-14 06:30:00"
48000 0.95265 0.62101 0.90900 "2023-09-14 07:20:00" "2023-09-14 06:40:00"
48000 0.95265 0.62101 0.91240 "2023-09-14 07:20:00" "2023-09-14 06:50:00"
48000 0.95265 0.62101 1.07050 "2023-09-14 07:20:00" "2023-09-14 07:00:00"
48000 0.95265 0.62101 0.98829 "2023-09-14 07:20:00" "2023-09-14 07:10:00"
48000 0.95265 0.62101 0.95800 "2023-09-14 07:20:00" "2023-09-14 07:20:00"
48000 0.95265 0.62101 0.86775 "2023-09-14 07:20:00" "2023-09-14 06:30:00"
