20230901
Seconds MEASURES_tau(ms) MNH_TAU0(ms) "AR_TAU (ms)" Date_of_forecast Date_of_computing
39000 2.57990 3.33038 2.83334 "2023-09-02 04:50:00" "2023-09-02 04:10:00"
39000 2.57990 3.33038 2.71321 "2023-09-02 04:50:00" "2023-09-02 04:20:00"
39000 2.57990 3.33038 2.51442 "2023-09-02 04:50:00" "2023-09-02 04:30:00"
39000 2.57990 3.33038 2.47447 "2023-09-02 04:50:00" "2023-09-02 04:40:00"
39000 2.57990 3.33038 2.52297 "2023-09-02 04:50:00" "2023-09-02 04:50:00"
39600 2.46571 3.39883 2.94218 "2023-09-02 05:00:00" "2023-09-02 04:10:00"
39600 2.46571 3.39883 2.81231 "2023-09-02 05:00:00" "2023-09-02 04:20:00"
39600 2.46571 3.39883 2.57476 "2023-09-02 05:00:00" "2023-09-02 04:30:00"
39600 2.46571 3.39883 2.52744 "2023-09-02 05:00:00" "2023-09-02 04:40:00"
39600 2.46571 3.39883 2.60491 "2023-09-02 05:00:00" "2023-09-02 04:50:00"
39600 2.46571 3.39883 2.37520 "2023-09-02 05:00:00" "2023-09-02 05:00:00"
40200 2.22185 3.44968 2.92339 "2023-09-02 05:10:00" "2023-09-02 04:20:00"
40200 2.22185 3.44968 2.65883 "2023-09-02 05:10:00" "2023-09-02 04:30:00"
40200 2.22185 3.44968 2.60497 "2023-09-02 05:10:00" "2023-09-02 04:40:00"
40200 2.22185 3.44968 2.70531 "2023-09-02 05:10:00" "2023-09-02 04:50:00"
40200 2.22185 3.44968 2.30584 "2023-09-02 05:10:00" "2023-09-02 05:00:00"
40200 2.22185 3.44968 2.15066 "2023-09-02 05:10:00" "2023-09-02 05:10:00"
40800 2.13378 3.50286 2.71988 "2023-09-02 05:20:00" "2023-09-02 04:30:00"
40800 2.13378 3.50286 2.66464 "2023-09-02 05:20:00" "2023-09-02 04:40:00"
40800 2.13378 3.50286 2.78331 "2023-09-02 05:20:00" "2023-09-02 04:50:00"
40800 2.13378 3.50286 2.25378 "2023-09-02 05:20:00" "2023-09-02 05:00:00"
40800 2.13378 3.50286 2.00289 "2023-09-02 05:20:00" "2023-09-02 05:10:00"
40800 2.13378 3.50286 2.09794 "2023-09-02 05:20:00" "2023-09-02 05:20:00"
41400 2.12467 3.49162 2.70153 "2023-09-02 05:30:00" "2023-09-02 04:40:00"
41400 2.12467 3.49162 2.83223 "2023-09-02 05:30:00" "2023-09-02 04:50:00"
41400 2.12467 3.49162 2.19948 "2023-09-02 05:30:00" "2023-09-02 05:00:00"
41400 2.12467 3.49162 1.86979 "2023-09-02 05:30:00" "2023-09-02 05:10:00"
41400 2.12467 3.49162 2.01255 "2023-09-02 05:30:00" "2023-09-02 05:20:00"
41400 2.12467 3.49162 1.97795 "2023-09-02 05:30:00" "2023-09-02 05:30:00"
42000 2.01220 3.46589 2.82119 "2023-09-02 05:40:00" "2023-09-02 04:50:00"
42000 2.01220 3.46589 2.11532 "2023-09-02 05:40:00" "2023-09-02 05:00:00"
42000 2.01220 3.46589 1.72217 "2023-09-02 05:40:00" "2023-09-02 05:10:00"
42000 2.01220 3.46589 1.89949 "2023-09-02 05:40:00" "2023-09-02 05:20:00"
42000 2.01220 3.46589 1.87117 "2023-09-02 05:40:00" "2023-09-02 05:30:00"
42000 2.01220 3.46589 1.91380 "2023-09-02 05:40:00" "2023-09-02 05:40:00"
42600 1.85400 3.48972 2.13654 "2023-09-02 05:50:00" "2023-09-02 05:00:00"
42600 1.85400 3.48972 1.69979 "2023-09-02 05:50:00" "2023-09-02 05:10:00"
42600 1.85400 3.48972 1.90692 "2023-09-02 05:50:00" "2023-09-02 05:20:00"
42600 1.85400 3.48972 1.87750 "2023-09-02 05:50:00" "2023-09-02 05:30:00"
42600 1.85400 3.48972 1.94424 "2023-09-02 05:50:00" "2023-09-02 05:40:00"
42600 1.85400 3.48972 1.83440 "2023-09-02 05:50:00" "2023-09-02 05:50:00"
43200 1.85400 3.46769 1.69864 "2023-09-02 06:00:00" "2023-09-02 05:10:00"
43200 1.85400 3.46769 1.92119 "2023-09-02 06:00:00" "2023-09-02 05:20:00"
43200 1.85400 3.46769 1.88965 "2023-09-02 06:00:00" "2023-09-02 05:30:00"
43200 1.85400 3.46769 1.97168 "2023-09-02 06:00:00" "2023-09-02 05:40:00"
43200 1.85400 3.46769 1.78093 "2023-09-02 06:00:00" "2023-09-02 05:50:00"
43200 1.85400 3.46769 1.78505 "2023-09-02 06:00:00" "2023-09-02 06:00:00"
43800 1.66000 3.43495 1.92244 "2023-09-02 06:10:00" "2023-09-02 05:20:00"
43800 1.66000 3.43495 1.89342 "2023-09-02 06:10:00" "2023-09-02 05:30:00"
43800 1.66000 3.43495 1.98858 "2023-09-02 06:10:00" "2023-09-02 05:40:00"
43800 1.66000 3.43495 1.73446 "2023-09-02 06:10:00" "2023-09-02 05:50:00"
43800 1.66000 3.43495 1.74338 "2023-09-02 06:10:00" "2023-09-02 06:00:00"
