20230901
Seconds MEASURES_tau(ms) MNH_TAU0(ms) PERSISTENCE(ms) Date_of_forecast Date_of_computing
46200 1.47142 3.25611 9999.00000 "2023-09-02 06:50:00" "2023-09-02 06:30:00"
46200 1.47142 3.25611 9999.00000 "2023-09-02 06:50:00" "2023-09-02 06:40:00"
46200 1.47142 3.25611 1.69750 "2023-09-02 06:50:00" "2023-09-02 06:50:00"
46800 1.50629 3.15888 9999.00000 "2023-09-02 07:00:00" "2023-09-02 06:10:00"
46800 1.50629 3.15888 9999.00000 "2023-09-02 07:00:00" "2023-09-02 06:20:00"
46800 1.50629 3.15888 9999.00000 "2023-09-02 07:00:00" "2023-09-02 06:30:00"
46800 1.50629 3.15888 9999.00000 "2023-09-02 07:00:00" "2023-09-02 06:40:00"
46800 1.50629 3.15888 1.69750 "2023-09-02 07:00:00" "2023-09-02 06:50:00"
46800 1.50629 3.15888 9999.00000 "2023-09-02 07:00:00" "2023-09-02 07:00:00"
47400 1.59444 3.06696 9999.00000 "2023-09-02 07:10:00" "2023-09-02 06:20:00"
47400 1.59444 3.06696 9999.00000 "2023-09-02 07:10:00" "2023-09-02 06:30:00"
47400 1.59444 3.06696 9999.00000 "2023-09-02 07:10:00" "2023-09-02 06:40:00"
47400 1.59444 3.06696 1.69750 "2023-09-02 07:10:00" "2023-09-02 06:50:00"
47400 1.59444 3.06696 9999.00000 "2023-09-02 07:10:00" "2023-09-02 07:00:00"
47400 1.59444 3.06696 1.34000 "2023-09-02 07:10:00" "2023-09-02 07:10:00"
48000 1.57369 2.91433 9999.00000 "2023-09-02 07:20:00" "2023-09-02 06:30:00"
48000 1.57369 2.91433 9999.00000 "2023-09-02 07:20:00" "2023-09-02 06:40:00"
48000 1.57369 2.91433 1.69750 "2023-09-02 07:20:00" "2023-09-02 06:50:00"
48000 1.57369 2.91433 9999.00000 "2023-09-02 07:20:00" "2023-09-02 07:00:00"
48000 1.57369 2.91433 1.34000 "2023-09-02 07:20:00" "2023-09-02 07:10:00"
48000 1.57369 2.91433 9999.00000 "2023-09-02 07:20:00" "2023-09-02 07:20:00"
48600 1.67198 2.81911 9999.00000 "2023-09-02 07:30:00" "2023-09-02 06:40:00"
48600 1.67198 2.81911 1.69750 "2023-09-02 07:30:00" "2023-09-02 06:50:00"
48600 1.67198 2.81911 9999.00000 "2023-09-02 07:30:00" "2023-09-02 07:00:00"
48600 1.67198 2.81911 1.34000 "2023-09-02 07:30:00" "2023-09-02 07:10:00"
48600 1.67198 2.81911 9999.00000 "2023-09-02 07:30:00" "2023-09-02 07:20:00"
48600 1.67198 2.81911 1.74500 "2023-09-02 07:30:00" "2023-09-02 07:30:00"
49200 1.80375 2.77910 1.69750 "2023-09-02 07:40:00" "2023-09-02 06:50:00"
49200 1.80375 2.77910 9999.00000 "2023-09-02 07:40:00" "2023-09-02 07:00:00"
49200 1.80375 2.77910 1.34000 "2023-09-02 07:40:00" "2023-09-02 07:10:00"
49200 1.80375 2.77910 9999.00000 "2023-09-02 07:40:00" "2023-09-02 07:20:00"
49200 1.80375 2.77910 1.74500 "2023-09-02 07:40:00" "2023-09-02 07:30:00"
49200 1.80375 2.77910 1.92500 "2023-09-02 07:40:00" "2023-09-02 07:40:00"
49800 1.80767 2.72857 9999.00000 "2023-09-02 07:50:00" "2023-09-02 07:00:00"
49800 1.80767 2.72857 1.34000 "2023-09-02 07:50:00" "2023-09-02 07:10:00"
49800 1.80767 2.72857 9999.00000 "2023-09-02 07:50:00" "2023-09-02 07:20:00"
49800 1.80767 2.72857 1.74500 "2023-09-02 07:50:00" "2023-09-02 07:30:00"
49800 1.80767 2.72857 1.92500 "2023-09-02 07:50:00" "2023-09-02 07:40:00"
49800 1.80767 2.72857 1.62000 "2023-09-02 07:50:00" "2023-09-02 07:50:00"
