20230906
Seconds MEASURES_glf(%) MNH_GLF(%) PERSISTENCE(%) Date_of_forecast Date_of_computing
41400 34.19956 46.21049 35.74286 "2023-09-07 05:30:00" "2023-09-07 05:10:00"
41400 34.19956 46.21049 46.45000 "2023-09-07 05:30:00" "2023-09-07 05:20:00"
41400 34.19956 46.21049 31.96667 "2023-09-07 05:30:00" "2023-09-07 05:30:00"
42000 31.65213 44.76580 44.50000 "2023-09-07 05:40:00" "2023-09-07 04:50:00"
42000 31.65213 44.76580 45.86667 "2023-09-07 05:40:00" "2023-09-07 05:00:00"
42000 31.65213 44.76580 35.74286 "2023-09-07 05:40:00" "2023-09-07 05:10:00"
42000 31.65213 44.76580 46.45000 "2023-09-07 05:40:00" "2023-09-07 05:20:00"
42000 31.65213 44.76580 31.96667 "2023-09-07 05:40:00" "2023-09-07 05:30:00"
42000 31.65213 44.76580 22.90000 "2023-09-07 05:40:00" "2023-09-07 05:40:00"
42600 30.58501 42.81673 45.86667 "2023-09-07 05:50:00" "2023-09-07 05:00:00"
42600 30.58501 42.81673 35.74286 "2023-09-07 05:50:00" "2023-09-07 05:10:00"
42600 30.58501 42.81673 46.45000 "2023-09-07 05:50:00" "2023-09-07 05:20:00"
42600 30.58501 42.81673 31.96667 "2023-09-07 05:50:00" "2023-09-07 05:30:00"
42600 30.58501 42.81673 22.90000 "2023-09-07 05:50:00" "2023-09-07 05:40:00"
42600 30.58501 42.81673 34.02857 "2023-09-07 05:50:00" "2023-09-07 05:50:00"
43200 30.91541 41.94494 35.74286 "2023-09-07 06:00:00" "2023-09-07 05:10:00"
43200 30.91541 41.94494 46.45000 "2023-09-07 06:00:00" "2023-09-07 05:20:00"
43200 30.91541 41.94494 31.96667 "2023-09-07 06:00:00" "2023-09-07 05:30:00"
43200 30.91541 41.94494 22.90000 "2023-09-07 06:00:00" "2023-09-07 05:40:00"
43200 30.91541 41.94494 34.02857 "2023-09-07 06:00:00" "2023-09-07 05:50:00"
43200 30.91541 41.94494 37.72500 "2023-09-07 06:00:00" "2023-09-07 06:00:00"
43800 30.76860 40.19183 46.45000 "2023-09-07 06:10:00" "2023-09-07 05:20:00"
43800 30.76860 40.19183 31.96667 "2023-09-07 06:10:00" "2023-09-07 05:30:00"
43800 30.76860 40.19183 22.90000 "2023-09-07 06:10:00" "2023-09-07 05:40:00"
43800 30.76860 40.19183 34.02857 "2023-09-07 06:10:00" "2023-09-07 05:50:00"
43800 30.76860 40.19183 37.72500 "2023-09-07 06:10:00" "2023-09-07 06:00:00"
43800 30.76860 40.19183 28.62857 "2023-09-07 06:10:00" "2023-09-07 06:10:00"
44400 28.46190 38.93519 31.96667 "2023-09-07 06:20:00" "2023-09-07 05:30:00"
44400 28.46190 38.93519 22.90000 "2023-09-07 06:20:00" "2023-09-07 05:40:00"
44400 28.46190 38.93519 34.02857 "2023-09-07 06:20:00" "2023-09-07 05:50:00"
44400 28.46190 38.93519 37.72500 "2023-09-07 06:20:00" "2023-09-07 06:00:00"
44400 28.46190 38.93519 28.62857 "2023-09-07 06:20:00" "2023-09-07 06:10:00"
44400 28.46190 38.93519 22.87143 "2023-09-07 06:20:00" "2023-09-07 06:20:00"
45000 26.23839 39.17086 22.90000 "2023-09-07 06:30:00" "2023-09-07 05:40:00"
45000 26.23839 39.17086 34.02857 "2023-09-07 06:30:00" "2023-09-07 05:50:00"
45000 26.23839 39.17086 37.72500 "2023-09-07 06:30:00" "2023-09-07 06:00:00"
45000 26.23839 39.17086 28.62857 "2023-09-07 06:30:00" "2023-09-07 06:10:00"
45000 26.23839 39.17086 22.87143 "2023-09-07 06:30:00" "2023-09-07 06:20:00"
45000 26.23839 39.17086 32.51250 "2023-09-07 06:30:00" "2023-09-07 06:30:00"
45600 27.72853 38.53141 34.02857 "2023-09-07 06:40:00" "2023-09-07 05:50:00"
45600 27.72853 38.53141 37.72500 "2023-09-07 06:40:00" "2023-09-07 06:00:00"
45600 27.72853 38.53141 28.62857 "2023-09-07 06:40:00" "2023-09-07 06:10:00"
45600 27.72853 38.53141 22.87143 "2023-09-07 06:40:00" "2023-09-07 06:20:00"
45600 27.72853 38.53141 32.51250 "2023-09-07 06:40:00" "2023-09-07 06:30:00"
45600 27.72853 38.53141 31.37143 "2023-09-07 06:40:00" "2023-09-07 06:40:00"
46200 27.77326 39.39312 37.72500 "2023-09-07 06:50:00" "2023-09-07 06:00:00"
46200 27.77326 39.39312 28.62857 "2023-09-07 06:50:00" "2023-09-07 06:10:00"
46200 27.77326 39.39312 22.87143 "2023-09-07 06:50:00" "2023-09-07 06:20:00"
46200 27.77326 39.39312 32.51250 "2023-09-07 06:50:00" "2023-09-07 06:30:00"
46200 27.77326 39.39312 31.37143 "2023-09-07 06:50:00" "2023-09-07 06:40:00"
