20230927
Seconds MEASURES_ws(m/s) MNH_WS_30m(m/s) "AR_WIND_SPEED (m/s)" Date_of_forecast Date_of_computing
34800 3.79211 6.20851 4.59034 "2023-09-28 03:40:00" "2023-09-28 03:00:00"
34800 3.79211 6.20851 4.25746 "2023-09-28 03:40:00" "2023-09-28 03:10:00"
34800 3.79211 6.20851 3.94604 "2023-09-28 03:40:00" "2023-09-28 03:20:00"
34800 3.79211 6.20851 3.80072 "2023-09-28 03:40:00" "2023-09-28 03:30:00"
34800 3.79211 6.20851 3.81560 "2023-09-28 03:40:00" "2023-09-28 03:40:00"
35400 3.81925 6.44270 4.85162 "2023-09-28 03:50:00" "2023-09-28 03:00:00"
35400 3.81925 6.44270 4.48226 "2023-09-28 03:50:00" "2023-09-28 03:10:00"
35400 3.81925 6.44270 4.11730 "2023-09-28 03:50:00" "2023-09-28 03:20:00"
35400 3.81925 6.44270 3.92206 "2023-09-28 03:50:00" "2023-09-28 03:30:00"
35400 3.81925 6.44270 3.93633 "2023-09-28 03:50:00" "2023-09-28 03:40:00"
35400 3.81925 6.44270 3.80287 "2023-09-28 03:50:00" "2023-09-28 03:50:00"
36000 3.81772 6.60848 4.66455 "2023-09-28 04:00:00" "2023-09-28 03:10:00"
36000 3.81772 6.60848 4.25136 "2023-09-28 04:00:00" "2023-09-28 03:20:00"
36000 3.81772 6.60848 4.01806 "2023-09-28 04:00:00" "2023-09-28 03:30:00"
36000 3.81772 6.60848 4.03523 "2023-09-28 04:00:00" "2023-09-28 03:40:00"
36000 3.81772 6.60848 3.82872 "2023-09-28 04:00:00" "2023-09-28 03:50:00"
36000 3.81772 6.60848 3.77027 "2023-09-28 04:00:00" "2023-09-28 04:00:00"
36600 3.86910 6.70744 4.36269 "2023-09-28 04:10:00" "2023-09-28 03:20:00"
36600 3.86910 6.70744 4.08887 "2023-09-28 04:10:00" "2023-09-28 03:30:00"
36600 3.86910 6.70744 4.10894 "2023-09-28 04:10:00" "2023-09-28 03:40:00"
36600 3.86910 6.70744 3.85211 "2023-09-28 04:10:00" "2023-09-28 03:50:00"
36600 3.86910 6.70744 3.72569 "2023-09-28 04:10:00" "2023-09-28 04:00:00"
36600 3.86910 6.70744 3.88688 "2023-09-28 04:10:00" "2023-09-28 04:10:00"
37200 3.95551 6.74284 4.15229 "2023-09-28 04:20:00" "2023-09-28 03:30:00"
37200 3.95551 6.74284 4.17640 "2023-09-28 04:20:00" "2023-09-28 03:40:00"
37200 3.95551 6.74284 3.87470 "2023-09-28 04:20:00" "2023-09-28 03:50:00"
37200 3.95551 6.74284 3.70352 "2023-09-28 04:20:00" "2023-09-28 04:00:00"
37200 3.95551 6.74284 3.94074 "2023-09-28 04:20:00" "2023-09-28 04:10:00"
37200 3.95551 6.74284 3.91196 "2023-09-28 04:20:00" "2023-09-28 04:20:00"
37800 4.04938 6.62703 4.08841 "2023-09-28 04:30:00" "2023-09-28 03:40:00"
37800 4.04938 6.62703 3.74627 "2023-09-28 04:30:00" "2023-09-28 03:50:00"
37800 4.04938 6.62703 3.54129 "2023-09-28 04:30:00" "2023-09-28 04:00:00"
37800 4.04938 6.62703 3.83506 "2023-09-28 04:30:00" "2023-09-28 04:10:00"
37800 4.04938 6.62703 3.82611 "2023-09-28 04:30:00" "2023-09-28 04:20:00"
37800 4.04938 6.62703 4.12881 "2023-09-28 04:30:00" "2023-09-28 04:30:00"
38400 4.13100 6.96790 4.10262 "2023-09-28 04:40:00" "2023-09-28 03:50:00"
38400 4.13100 6.96790 3.86010 "2023-09-28 04:40:00" "2023-09-28 04:00:00"
38400 4.13100 6.96790 4.20481 "2023-09-28 04:40:00" "2023-09-28 04:10:00"
38400 4.13100 6.96790 4.20653 "2023-09-28 04:40:00" "2023-09-28 04:20:00"
38400 4.13100 6.96790 4.69133 "2023-09-28 04:40:00" "2023-09-28 04:30:00"
38400 4.13100 6.96790 4.18534 "2023-09-28 04:40:00" "2023-09-28 04:40:00"
39000 4.19664 7.39036 4.32187 "2023-09-28 04:50:00" "2023-09-28 04:00:00"
39000 4.19664 7.39036 4.70837 "2023-09-28 04:50:00" "2023-09-28 04:10:00"
39000 4.19664 7.39036 4.71415 "2023-09-28 04:50:00" "2023-09-28 04:20:00"
39000 4.19664 7.39036 5.32836 "2023-09-28 04:50:00" "2023-09-28 04:30:00"
39000 4.19664 7.39036 4.46024 "2023-09-28 04:50:00" "2023-09-28 04:40:00"
39000 4.19664 7.39036 4.24523 "2023-09-28 04:50:00" "2023-09-28 04:50:00"
39600 4.30126 7.74576 5.14497 "2023-09-28 05:00:00" "2023-09-28 04:10:00"
39600 4.30126 7.74576 5.15819 "2023-09-28 05:00:00" "2023-09-28 04:20:00"
39600 4.30126 7.74576 5.88260 "2023-09-28 05:00:00" "2023-09-28 04:30:00"
39600 4.30126 7.74576 4.78054 "2023-09-28 05:00:00" "2023-09-28 04:40:00"
39600 4.30126 7.74576 4.43254 "2023-09-28 05:00:00" "2023-09-28 04:50:00"
39600 4.30126 7.74576 4.33479 "2023-09-28 05:00:00" "2023-09-28 05:00:00"
40200 4.36205 8.05673 5.56973 "2023-09-28 05:10:00" "2023-09-28 04:20:00"
40200 4.36205 8.05673 6.39763 "2023-09-28 05:10:00" "2023-09-28 04:30:00"
40200 4.36205 8.05673 5.09735 "2023-09-28 05:10:00" "2023-09-28 04:40:00"
40200 4.36205 8.05673 4.66396 "2023-09-28 05:10:00" "2023-09-28 04:50:00"
40200 4.36205 8.05673 4.53372 "2023-09-28 05:10:00" "2023-09-28 05:00:00"
40200 4.36205 8.05673 4.34779 "2023-09-28 05:10:00" "2023-09-28 05:10:00"
40800 4.35195 8.37150 6.81841 "2023-09-28 05:20:00" "2023-09-28 04:30:00"
40800 4.35195 8.37150 5.33606 "2023-09-28 05:20:00" "2023-09-28 04:40:00"
40800 4.35195 8.37150 4.82724 "2023-09-28 05:20:00" "2023-09-28 04:50:00"
40800 4.35195 8.37150 4.67769 "2023-09-28 05:20:00" "2023-09-28 05:00:00"
40800 4.35195 8.37150 4.36174 "2023-09-28 05:20:00" "2023-09-28 05:10:00"
40800 4.35195 8.37150 4.41958 "2023-09-28 05:20:00" "2023-09-28 05:20:00"
41400 4.25267 8.74874 5.73246 "2023-09-28 05:30:00" "2023-09-28 04:40:00"
41400 4.25267 8.74874 5.15943 "2023-09-28 05:30:00" "2023-09-28 04:50:00"
41400 4.25267 8.74874 4.98719 "2023-09-28 05:30:00" "2023-09-28 05:00:00"
41400 4.25267 8.74874 4.58513 "2023-09-28 05:30:00" "2023-09-28 05:10:00"
41400 4.25267 8.74874 4.64301 "2023-09-28 05:30:00" "2023-09-28 05:20:00"
41400 4.25267 8.74874 4.24860 "2023-09-28 05:30:00" "2023-09-28 05:30:00"
42000 4.19987 8.62360 5.11918 "2023-09-28 05:40:00" "2023-09-28 04:50:00"
42000 4.19987 8.62360 4.93455 "2023-09-28 05:40:00" "2023-09-28 05:00:00"
42000 4.19987 8.62360 4.45957 "2023-09-28 05:40:00" "2023-09-28 05:10:00"
42000 4.19987 8.62360 4.52261 "2023-09-28 05:40:00" "2023-09-28 05:20:00"
42000 4.19987 8.62360 3.85569 "2023-09-28 05:40:00" "2023-09-28 05:30:00"
42000 4.19987 8.62360 4.17781 "2023-09-28 05:40:00" "2023-09-28 05:40:00"
