20230921
Seconds MEASURES_pwv(mm) MNH_PWV(mm) PERSISTENCE(mm) Date_of_forecast Date_of_computing
37200 3.88449 3.56895 3.88700 "2023-09-22 04:20:00" "2023-09-22 04:10:00"
37200 3.88449 3.56895 3.95300 "2023-09-22 04:20:00" "2023-09-22 04:20:00"
37800 3.86408 3.59582 3.90000 "2023-09-22 04:30:00" "2023-09-22 03:40:00"
37800 3.86408 3.59582 3.91200 "2023-09-22 04:30:00" "2023-09-22 03:50:00"
37800 3.86408 3.59582 3.93200 "2023-09-22 04:30:00" "2023-09-22 04:00:00"
37800 3.86408 3.59582 3.88700 "2023-09-22 04:30:00" "2023-09-22 04:10:00"
37800 3.86408 3.59582 3.95300 "2023-09-22 04:30:00" "2023-09-22 04:20:00"
37800 3.86408 3.59582 3.92400 "2023-09-22 04:30:00" "2023-09-22 04:30:00"
38400 3.83539 3.61838 3.91200 "2023-09-22 04:40:00" "2023-09-22 03:50:00"
38400 3.83539 3.61838 3.93200 "2023-09-22 04:40:00" "2023-09-22 04:00:00"
38400 3.83539 3.61838 3.88700 "2023-09-22 04:40:00" "2023-09-22 04:10:00"
38400 3.83539 3.61838 3.95300 "2023-09-22 04:40:00" "2023-09-22 04:20:00"
38400 3.83539 3.61838 3.92400 "2023-09-22 04:40:00" "2023-09-22 04:30:00"
38400 3.83539 3.61838 9999.00000 "2023-09-22 04:40:00" "2023-09-22 04:40:00"
39000 3.80870 3.62277 3.93200 "2023-09-22 04:50:00" "2023-09-22 04:00:00"
39000 3.80870 3.62277 3.88700 "2023-09-22 04:50:00" "2023-09-22 04:10:00"
39000 3.80870 3.62277 3.95300 "2023-09-22 04:50:00" "2023-09-22 04:20:00"
39000 3.80870 3.62277 3.92400 "2023-09-22 04:50:00" "2023-09-22 04:30:00"
39000 3.80870 3.62277 9999.00000 "2023-09-22 04:50:00" "2023-09-22 04:40:00"
39000 3.80870 3.62277 3.84200 "2023-09-22 04:50:00" "2023-09-22 04:50:00"
39600 3.78900 3.61195 3.88700 "2023-09-22 05:00:00" "2023-09-22 04:10:00"
39600 3.78900 3.61195 3.95300 "2023-09-22 05:00:00" "2023-09-22 04:20:00"
39600 3.78900 3.61195 3.92400 "2023-09-22 05:00:00" "2023-09-22 04:30:00"
39600 3.78900 3.61195 9999.00000 "2023-09-22 05:00:00" "2023-09-22 04:40:00"
39600 3.78900 3.61195 3.84200 "2023-09-22 05:00:00" "2023-09-22 04:50:00"
39600 3.78900 3.61195 3.77600 "2023-09-22 05:00:00" "2023-09-22 05:00:00"
40200 3.78845 3.60037 3.95300 "2023-09-22 05:10:00" "2023-09-22 04:20:00"
40200 3.78845 3.60037 3.92400 "2023-09-22 05:10:00" "2023-09-22 04:30:00"
40200 3.78845 3.60037 9999.00000 "2023-09-22 05:10:00" "2023-09-22 04:40:00"
40200 3.78845 3.60037 3.84200 "2023-09-22 05:10:00" "2023-09-22 04:50:00"
40200 3.78845 3.60037 3.77600 "2023-09-22 05:10:00" "2023-09-22 05:00:00"
40200 3.78845 3.60037 3.73300 "2023-09-22 05:10:00" "2023-09-22 05:10:00"
40800 3.79443 3.59137 3.92400 "2023-09-22 05:20:00" "2023-09-22 04:30:00"
40800 3.79443 3.59137 9999.00000 "2023-09-22 05:20:00" "2023-09-22 04:40:00"
40800 3.79443 3.59137 3.84200 "2023-09-22 05:20:00" "2023-09-22 04:50:00"
40800 3.79443 3.59137 3.77600 "2023-09-22 05:20:00" "2023-09-22 05:00:00"
40800 3.79443 3.59137 3.73300 "2023-09-22 05:20:00" "2023-09-22 05:10:00"
40800 3.79443 3.59137 3.76500 "2023-09-22 05:20:00" "2023-09-22 05:20:00"
41400 3.80612 3.58790 9999.00000 "2023-09-22 05:30:00" "2023-09-22 04:40:00"
41400 3.80612 3.58790 3.84200 "2023-09-22 05:30:00" "2023-09-22 04:50:00"
41400 3.80612 3.58790 3.77600 "2023-09-22 05:30:00" "2023-09-22 05:00:00"
41400 3.80612 3.58790 3.73300 "2023-09-22 05:30:00" "2023-09-22 05:10:00"
41400 3.80612 3.58790 3.76500 "2023-09-22 05:30:00" "2023-09-22 05:20:00"
41400 3.80612 3.58790 3.82900 "2023-09-22 05:30:00" "2023-09-22 05:30:00"
42000 3.82420 3.57513 3.84200 "2023-09-22 05:40:00" "2023-09-22 04:50:00"
42000 3.82420 3.57513 3.77600 "2023-09-22 05:40:00" "2023-09-22 05:00:00"
42000 3.82420 3.57513 3.73300 "2023-09-22 05:40:00" "2023-09-22 05:10:00"
42000 3.82420 3.57513 3.76500 "2023-09-22 05:40:00" "2023-09-22 05:20:00"
42000 3.82420 3.57513 3.82900 "2023-09-22 05:40:00" "2023-09-22 05:30:00"
42000 3.82420 3.57513 3.83000 "2023-09-22 05:40:00" "2023-09-22 05:40:00"
42600 3.84548 3.56711 3.77600 "2023-09-22 05:50:00" "2023-09-22 05:00:00"
42600 3.84548 3.56711 3.73300 "2023-09-22 05:50:00" "2023-09-22 05:10:00"
42600 3.84548 3.56711 3.76500 "2023-09-22 05:50:00" "2023-09-22 05:20:00"
42600 3.84548 3.56711 3.82900 "2023-09-22 05:50:00" "2023-09-22 05:30:00"
42600 3.84548 3.56711 3.83000 "2023-09-22 05:50:00" "2023-09-22 05:40:00"
42600 3.84548 3.56711 9999.00000 "2023-09-22 05:50:00" "2023-09-22 05:50:00"
43200 3.86600 3.55589 3.73300 "2023-09-22 06:00:00" "2023-09-22 05:10:00"
43200 3.86600 3.55589 3.76500 "2023-09-22 06:00:00" "2023-09-22 05:20:00"
43200 3.86600 3.55589 3.82900 "2023-09-22 06:00:00" "2023-09-22 05:30:00"
43200 3.86600 3.55589 3.83000 "2023-09-22 06:00:00" "2023-09-22 05:40:00"
43200 3.86600 3.55589 9999.00000 "2023-09-22 06:00:00" "2023-09-22 05:50:00"
43200 3.86600 3.55589 3.83900 "2023-09-22 06:00:00" "2023-09-22 06:00:00"
43800 3.88382 3.54015 3.76500 "2023-09-22 06:10:00" "2023-09-22 05:20:00"
43800 3.88382 3.54015 3.82900 "2023-09-22 06:10:00" "2023-09-22 05:30:00"
43800 3.88382 3.54015 3.83000 "2023-09-22 06:10:00" "2023-09-22 05:40:00"
43800 3.88382 3.54015 9999.00000 "2023-09-22 06:10:00" "2023-09-22 05:50:00"
43800 3.88382 3.54015 3.83900 "2023-09-22 06:10:00" "2023-09-22 06:00:00"
43800 3.88382 3.54015 3.82600 "2023-09-22 06:10:00" "2023-09-22 06:10:00"
44400 3.88904 3.50914 3.82900 "2023-09-22 06:20:00" "2023-09-22 05:30:00"
44400 3.88904 3.50914 3.83000 "2023-09-22 06:20:00" "2023-09-22 05:40:00"
44400 3.88904 3.50914 9999.00000 "2023-09-22 06:20:00" "2023-09-22 05:50:00"
44400 3.88904 3.50914 3.83900 "2023-09-22 06:20:00" "2023-09-22 06:00:00"
44400 3.88904 3.50914 3.82600 "2023-09-22 06:20:00" "2023-09-22 06:10:00"
44400 3.88904 3.50914 3.89200 "2023-09-22 06:20:00" "2023-09-22 06:20:00"
45000 3.90340 3.45783 3.83000 "2023-09-22 06:30:00" "2023-09-22 05:40:00"
45000 3.90340 3.45783 9999.00000 "2023-09-22 06:30:00" "2023-09-22 05:50:00"
45000 3.90340 3.45783 3.83900 "2023-09-22 06:30:00" "2023-09-22 06:00:00"
45000 3.90340 3.45783 3.82600 "2023-09-22 06:30:00" "2023-09-22 06:10:00"
45000 3.90340 3.45783 3.89200 "2023-09-22 06:30:00" "2023-09-22 06:20:00"
45000 3.90340 3.45783 3.94300 "2023-09-22 06:30:00" "2023-09-22 06:30:00"
45600 3.91494 3.41516 9999.00000 "2023-09-22 06:40:00" "2023-09-22 05:50:00"
45600 3.91494 3.41516 3.83900 "2023-09-22 06:40:00" "2023-09-22 06:00:00"
45600 3.91494 3.41516 3.82600 "2023-09-22 06:40:00" "2023-09-22 06:10:00"
45600 3.91494 3.41516 3.89200 "2023-09-22 06:40:00" "2023-09-22 06:20:00"
45600 3.91494 3.41516 3.94300 "2023-09-22 06:40:00" "2023-09-22 06:30:00"
45600 3.91494 3.41516 9999.00000 "2023-09-22 06:40:00" "2023-09-22 06:40:00"
46200 3.92085 3.38354 3.83900 "2023-09-22 06:50:00" "2023-09-22 06:00:00"
46200 3.92085 3.38354 3.82600 "2023-09-22 06:50:00" "2023-09-22 06:10:00"
46200 3.92085 3.38354 3.89200 "2023-09-22 06:50:00" "2023-09-22 06:20:00"
46200 3.92085 3.38354 3.94300 "2023-09-22 06:50:00" "2023-09-22 06:30:00"
46200 3.92085 3.38354 9999.00000 "2023-09-22 06:50:00" "2023-09-22 06:40:00"
46200 3.92085 3.38354 3.92900 "2023-09-22 06:50:00" "2023-09-22 06:50:00"
46800 3.91700 3.37267 3.82600 "2023-09-22 07:00:00" "2023-09-22 06:10:00"
46800 3.91700 3.37267 3.89200 "2023-09-22 07:00:00" "2023-09-22 06:20:00"
46800 3.91700 3.37267 3.94300 "2023-09-22 07:00:00" "2023-09-22 06:30:00"
46800 3.91700 3.37267 9999.00000 "2023-09-22 07:00:00" "2023-09-22 06:40:00"
46800 3.91700 3.37267 3.92900 "2023-09-22 07:00:00" "2023-09-22 06:50:00"
46800 3.91700 3.37267 3.87500 "2023-09-22 07:00:00" "2023-09-22 07:00:00"
47400 3.89865 3.36659 3.89200 "2023-09-22 07:10:00" "2023-09-22 06:20:00"
47400 3.89865 3.36659 3.94300 "2023-09-22 07:10:00" "2023-09-22 06:30:00"
47400 3.89865 3.36659 9999.00000 "2023-09-22 07:10:00" "2023-09-22 06:40:00"
47400 3.89865 3.36659 3.92900 "2023-09-22 07:10:00" "2023-09-22 06:50:00"
47400 3.89865 3.36659 3.87500 "2023-09-22 07:10:00" "2023-09-22 07:00:00"
47400 3.89865 3.36659 3.93000 "2023-09-22 07:10:00" "2023-09-22 07:10:00"
48000 3.89087 3.36630 3.94300 "2023-09-22 07:20:00" "2023-09-22 06:30:00"
48000 3.89087 3.36630 9999.00000 "2023-09-22 07:20:00" "2023-09-22 06:40:00"
48000 3.89087 3.36630 3.92900 "2023-09-22 07:20:00" "2023-09-22 06:50:00"
48000 3.89087 3.36630 3.87500 "2023-09-22 07:20:00" "2023-09-22 07:00:00"
48000 3.89087 3.36630 3.93000 "2023-09-22 07:20:00" "2023-09-22 07:10:00"
48000 3.89087 3.36630 3.92700 "2023-09-22 07:20:00" "2023-09-22 07:20:00"
