20230902
Seconds MEASURES_rh(%) MNH_RH_30m(%) PERSISTENCE(%) Date_of_forecast Date_of_computing
32400 5.33279 7.61836 4.00000 "2023-09-02 15:00:00" "2023-09-02 14:20:00"
32400 5.33279 7.61836 4.50000 "2023-09-02 15:00:00" "2023-09-02 14:30:00"
32400 5.33279 7.61836 5.00000 "2023-09-02 15:00:00" "2023-09-02 14:40:00"
32400 5.33279 7.61836 5.20000 "2023-09-02 15:00:00" "2023-09-02 14:50:00"
32400 5.33279 7.61836 5.10000 "2023-09-02 15:00:00" "2023-09-02 15:00:00"
33000 5.46066 7.77442 4.00000 "2023-09-02 15:10:00" "2023-09-02 14:20:00"
33000 5.46066 7.77442 4.50000 "2023-09-02 15:10:00" "2023-09-02 14:30:00"
33000 5.46066 7.77442 5.00000 "2023-09-02 15:10:00" "2023-09-02 14:40:00"
33000 5.46066 7.77442 5.20000 "2023-09-02 15:10:00" "2023-09-02 14:50:00"
33000 5.46066 7.77442 5.10000 "2023-09-02 15:10:00" "2023-09-02 15:00:00"
33000 5.46066 7.77442 5.00000 "2023-09-02 15:10:00" "2023-09-02 15:10:00"
33600 5.56557 8.09202 4.50000 "2023-09-02 15:20:00" "2023-09-02 14:30:00"
33600 5.56557 8.09202 5.00000 "2023-09-02 15:20:00" "2023-09-02 14:40:00"
33600 5.56557 8.09202 5.20000 "2023-09-02 15:20:00" "2023-09-02 14:50:00"
33600 5.56557 8.09202 5.10000 "2023-09-02 15:20:00" "2023-09-02 15:00:00"
33600 5.56557 8.09202 5.00000 "2023-09-02 15:20:00" "2023-09-02 15:10:00"
33600 5.56557 8.09202 5.40000 "2023-09-02 15:20:00" "2023-09-02 15:20:00"
34200 5.83279 8.49408 5.00000 "2023-09-02 15:30:00" "2023-09-02 14:40:00"
34200 5.83279 8.49408 5.20000 "2023-09-02 15:30:00" "2023-09-02 14:50:00"
34200 5.83279 8.49408 5.10000 "2023-09-02 15:30:00" "2023-09-02 15:00:00"
34200 5.83279 8.49408 5.00000 "2023-09-02 15:30:00" "2023-09-02 15:10:00"
34200 5.83279 8.49408 5.40000 "2023-09-02 15:30:00" "2023-09-02 15:20:00"
34200 5.83279 8.49408 5.90000 "2023-09-02 15:30:00" "2023-09-02 15:30:00"
34800 6.09016 8.83818 5.20000 "2023-09-02 15:40:00" "2023-09-02 14:50:00"
34800 6.09016 8.83818 5.10000 "2023-09-02 15:40:00" "2023-09-02 15:00:00"
34800 6.09016 8.83818 5.00000 "2023-09-02 15:40:00" "2023-09-02 15:10:00"
34800 6.09016 8.83818 5.40000 "2023-09-02 15:40:00" "2023-09-02 15:20:00"
34800 6.09016 8.83818 5.90000 "2023-09-02 15:40:00" "2023-09-02 15:30:00"
34800 6.09016 8.83818 5.90000 "2023-09-02 15:40:00" "2023-09-02 15:40:00"
35400 6.24262 9.32651 5.10000 "2023-09-02 15:50:00" "2023-09-02 15:00:00"
35400 6.24262 9.32651 5.00000 "2023-09-02 15:50:00" "2023-09-02 15:10:00"
35400 6.24262 9.32651 5.40000 "2023-09-02 15:50:00" "2023-09-02 15:20:00"
35400 6.24262 9.32651 5.90000 "2023-09-02 15:50:00" "2023-09-02 15:30:00"
35400 6.24262 9.32651 5.90000 "2023-09-02 15:50:00" "2023-09-02 15:40:00"
35400 6.24262 9.32651 5.80000 "2023-09-02 15:50:00" "2023-09-02 15:50:00"
36000 6.38689 9.64848 5.00000 "2023-09-02 16:00:00" "2023-09-02 15:10:00"
36000 6.38689 9.64848 5.40000 "2023-09-02 16:00:00" "2023-09-02 15:20:00"
36000 6.38689 9.64848 5.90000 "2023-09-02 16:00:00" "2023-09-02 15:30:00"
